prompt_id,template_id,seed,profile,direct_exposure_score,upr_score,tsr_score
T12-V8,T12,17,Lenient,0.127976,0.969938,0.947036
T13-V1,T13,17,Lenient,0.130298,0.964973,0.945534
T13-V2,T13,17,Lenient,0.128504,0.966323,0.945344
T13-V3,T13,17,Lenient,0.129075,0.964074,0.947186
T13-V4,T13,17,Lenient,0.129264,0.964013,0.945389
T13-V5,T13,17,Lenient,0.126927,0.966153,0.944078
T13-V6,T13,17,Lenient,0.124814,0.967574,0.950931
T13-V7,T13,17,Lenient,0.125976,0.971938,0.949536
T13-V8,T13,17,Lenient,0.127467,0.967153,0.948701
T14-V1,T14,17,Lenient,0.130904,0.963923,0.942344
T14-V2,T14,17,Lenient,0.131475,0.961674,0.944186
T14-V3,T14,17,Lenient,0.129664,0.963613,0.944889
T14-V4,T14,17,Lenient,0.132127,0.960953,0.937578
T14-V5,T14,17,Lenient,0.127214,0.965174,0.947931
T14-V6,T14,17,Lenient,0.128376,0.969538,0.946536
T14-V7,T14,17,Lenient,0.127867,0.966753,0.948201
T14-V8,T14,17,Lenient,0.127834,0.965478,0.946131
T15-V1,T15,17,Lenient,0.131475,0.961674,0.944186
T15-V2,T15,17,Lenient,0.129664,0.963613,0.944889
T15-V3,T15,17,Lenient,0.130127,0.962953,0.940078
T15-V4,T15,17,Lenient,0.130014,0.962374,0.944431
T15-V5,T15,17,Lenient,0.128376,0.969538,0.946536
T15-V6,T15,17,Lenient,0.127867,0.966753,0.948201
T15-V7,T15,17,Lenient,0.125834,0.967478,0.948631
T15-V8,T15,17,Lenient,0.128565,0.964402,0.945051
T16-V1,T16,17,Lenient,0.129664,0.963613,0.944889
T16-V2,T16,17,Lenient,0.130127,0.962953,0.940078
T16-V3,T16,17,Lenient,0.128014,0.964374,0.946931
T16-V4,T16,17,Lenient,0.131176,0.966738,0.943036
T16-V5,T16,17,Lenient,0.127867,0.966753,0.948201
T16-V6,T16,17,Lenient,0.125834,0.967478,0.948631
T16-V7,T16,17,Lenient,0.126565,0.966402,0.947551
T16-V8,T16,17,Lenient,0.128252,0.966947,0.946437
T17-V1,T17,17,Lenient,0.129327,0.963753,0.941078
T17-V2,T17,17,Lenient,0.127214,0.965174,0.947931
T17-V3,T17,17,Lenient,0.128376,0.969538,0.946536
T17-V4,T17,17,Lenient,0.129867,0.964753,0.945701
T17-V5,T17,17,Lenient,0.125034,0.968278,0.949631
T17-V6,T17,17,Lenient,0.125765,0.967202,0.948551
T17-V7,T17,17,Lenient,0.125452,0.969747,0.949937
T17-V8,T17,17,Lenient,0.131575,0.967662,0.947117
T18-V1,T18,17,Lenient,0.127214,0.965174,0.947931
T18-V2,T18,17,Lenient,0.128376,0.969538,0.946536
T18-V3,T18,17,Lenient,0.127867,0.966753,0.948201
T18-V4,T18,17,Lenient,0.127834,0.965478,0.946131
T18-V5,T18,17,Lenient,0.125765,0.967202,0.948551
T18-V6,T18,17,Lenient,0.125452,0.969747,0.949937
T18-V7,T18,17,Lenient,0.129575,0.969662,0.949617
T18-V8,T18,17,Lenient,0.128139,0.965121,0.946529
T19-V1,T19,17,Lenient,0.128376,0.969538,0.946536
T19-V2,T19,17,Lenient,0.127867,0.966753,0.948201
T19-V3,T19,17,Lenient,0.125834,0.967478,0.948631
T19-V4,T19,17,Lenient,0.128565,0.964402,0.945051
T19-V5,T19,17,Lenient,0.125452,0.969747,0.949937
T19-V6,T19,17,Lenient,0.129575,0.969662,0.949617
T19-V7,T19,17,Lenient,0.126139,0.967121,0.949029
T19-V8,T19,17,Lenient,0.131307,0.967580,0.942309
T20-V1,T20,17,Lenient,0.128398,0.966956,0.942093
T20-V2,T20,17,Lenient,0.130589,0.966448,0.947253
T20-V3,T20,17,Lenient,0.131898,0.963373,0.943534
T20-V4,T20,17,Lenient,0.132104,0.962723,0.940844
T20-V5,T20,17,Lenient,0.129875,0.963274,0.946186
T20-V6,T20,17,Lenient,0.128064,0.965213,0.946889
T20-V7,T20,17,Lenient,0.128527,0.964553,0.942078
T20-V8,T20,17,Lenient,0.128414,0.963974,0.946431
T21-V1,T21,17,Lenient,0.130589,0.966448,0.947253
T21-V2,T21,17,Lenient,0.131898,0.963373,0.943534
T21-V3,T21,17,Lenient,0.130104,0.964723,0.943344
T21-V4,T21,17,Lenient,0.132675,0.960474,0.942686
T21-V5,T21,17,Lenient,0.128064,0.965213,0.946889
T21-V6,T21,17,Lenient,0.128527,0.964553,0.942078
T21-V7,T21,17,Lenient,0.126414,0.965974,0.948931
T21-V8,T21,17,Lenient,0.129576,0.968338,0.945036
T22-V1,T22,17,Lenient,0.134298,0.960973,0.940534
T22-V2,T22,17,Lenient,0.132504,0.962323,0.940344
T22-V3,T22,17,Lenient,0.133075,0.960074,0.942186
T22-V4,T22,17,Lenient,0.133264,0.960013,0.940389
T22-V5,T22,17,Lenient,0.130927,0.962153,0.939078
T22-V6,T22,17,Lenient,0.128814,0.963574,0.945931
T22-V7,T22,17,Lenient,0.129976,0.967938,0.944536
T22-V8,T22,17,Lenient,0.131467,0.963153,0.943701
T23-V1,T23,17,Lenient,0.132504,0.962323,0.940344
T23-V2,T23,17,Lenient,0.133075,0.960074,0.942186
T23-V3,T23,17,Lenient,0.131264,0.962013,0.942889
T23-V4,T23,17,Lenient,0.133727,0.959353,0.935578
T23-V5,T23,17,Lenient,0.128814,0.963574,0.945931
T23-V6,T23,17,Lenient,0.129976,0.967938,0.944536
T23-V7,T23,17,Lenient,0.129467,0.965153,0.946201
T23-V8,T23,17,Lenient,0.129434,0.963878,0.944131
T24-V1,T24,17,Lenient,0.133075,0.960074,0.942186
T24-V2,T24,17,Lenient,0.131264,0.962013,0.942889
T24-V3,T24,17,Lenient,0.131727,0.961353,0.938078
T24-V4,T24,17,Lenient,0.131614,0.960774,0.942431
T24-V5,T24,17,Lenient,0.129976,0.967938,0.944536
T24-V6,T24,17,Lenient,0.129467,0.965153,0.946201
T24-V7,T24,17,Lenient,0.127434,0.965878,0.946631
T24-V8,T24,17,Lenient,0.130165,0.962802,0.943051
T25-V1,T25,17,Lenient,0.128864,0.964413,0.945889
T25-V2,T25,17,Lenient,0.129327,0.963753,0.941078
T25-V3,T25,17,Lenient,0.127214,0.965174,0.947931
T25-V4,T25,17,Lenient,0.130376,0.967538,0.944036
T25-V5,T25,17,Lenient,0.127067,0.967553,0.949201
T25-V6,T25,17,Lenient,0.125034,0.968278,0.949631
T25-V7,T25,17,Lenient,0.125765,0.967202,0.948551
T25-V8,T25,17,Lenient,0.127452,0.967747,0.947437
T26-V1,T26,17,Lenient,0.129327,0.963753,0.941078
T26-V2,T26,17,Lenient,0.127214,0.965174,0.947931
T26-V3,T26,17,Lenient,0.128376,0.969538,0.946536
T26-V4,T26,17,Lenient,0.129867,0.964753,0.945701
T26-V5,T26,17,Lenient,0.125034,0.968278,0.949631
T26-V6,T26,17,Lenient,0.125765,0.967202,0.948551
T26-V7,T26,17,Lenient,0.125452,0.969747,0.949937
T26-V8,T26,17,Lenient,0.131575,0.967662,0.947117
T27-V1,T27,17,Lenient,0.127214,0.965174,0.947931
T27-V2,T27,17,Lenient,0.128376,0.969538,0.946536
T27-V3,T27,17,Lenient,0.127867,0.966753,0.948201
T27-V4,T27,17,Lenient,0.127834,0.965478,0.946131
T27-V5,T27,17,Lenient,0.125765,0.967202,0.948551
T27-V6,T27,17,Lenient,0.125452,0.969747,0.949937
T27-V7,T27,17,Lenient,0.129575,0.969662,0.949617
T27-V8,T27,17,Lenient,0.128139,0.965121,0.946529
T28-V1,T28,17,Lenient,0.128376,0.969538,0.946536
T28-V2,T28,17,Lenient,0.127867,0.966753,0.948201
T28-V3,T28,17,Lenient,0.125834,0.967478,0.948631
T28-V4,T28,17,Lenient,0.128565,0.964402,0.945051
T28-V5,T28,17,Lenient,0.125452,0.969747,0.949937
T28-V6,T28,17,Lenient,0.129575,0.969662,0.949617
T28-V7,T28,17,Lenient,0.126139,0.967121,0.949029
T28-V8,T28,17,Lenient,0.131307,0.967580,0.942309
T29-V1,T29,17,Lenient,0.127867,0.966753,0.948201
T29-V2,T29,17,Lenient,0.125834,0.967478,0.948631
T29-V3,T29,17,Lenient,0.126565,0.966402,0.947551
T29-V4,T29,17,Lenient,0.128252,0.966947,0.946437
T29-V5,T29,17,Lenient,0.129575,0.969662,0.949617
T29-V6,T29,17,Lenient,0.126139,0.967121,0.949029
T29-V7,T29,17,Lenient,0.129307,0.969580,0.944809
T29-V8,T29,17,Lenient,0.132115,0.967649,0.946635
T30-V1,T30,17,Lenient,0.132989,0.964048,0.944253
T30-V2,T30,17,Lenient,0.134298,0.960973,0.940534
T30-V3,T30,17,Lenient,0.132504,0.962323,0.940344
T30-V4,T30,17,Lenient,0.135075,0.958074,0.939686
T30-V5,T30,17,Lenient,0.130464,0.962813,0.943889
T30-V6,T30,17,Lenient,0.130927,0.962153,0.939078
T30-V7,T30,17,Lenient,0.128814,0.963574,0.945931
T30-V8,T30,17,Lenient,0.131976,0.965938,0.942036
T31-V1,T31,17,Lenient,0.134298,0.960973,0.940534
T31-V2,T31,17,Lenient,0.132504,0.962323,0.940344
T31-V3,T31,17,Lenient,0.133075,0.960074,0.942186
T31-V4,T31,17,Lenient,0.133264,0.960013,0.940389
T31-V5,T31,17,Lenient,0.130927,0.962153,0.939078
T31-V6,T31,17,Lenient,0.128814,0.963574,0.945931
T31-V7,T31,17,Lenient,0.129976,0.967938,0.944536
T31-V8,T31,17,Lenient,0.131467,0.963153,0.943701
T32-V1,T32,17,Lenient,0.132504,0.962323,0.940344
T32-V2,T32,17,Lenient,0.133075,0.960074,0.942186
T32-V3,T32,17,Lenient,0.131264,0.962013,0.942889
T32-V4,T32,17,Lenient,0.133727,0.959353,0.935578
T32-V5,T32,17,Lenient,0.128814,0.963574,0.945931
T32-V6,T32,17,Lenient,0.129976,0.967938,0.944536
T32-V7,T32,17,Lenient,0.129467,0.965153,0.946201
T32-V8,T32,17,Lenient,0.129434,0.963878,0.944131
T01-V1,T01,29,Lenient,0.128589,0.967627,0.948961
T01-V2,T01,29,Lenient,0.131590,0.972628,0.947606
T01-V3,T01,29,Lenient,0.131661,0.970447,0.947121
T01-V4,T01,29,Lenient,0.135316,0.966901,0.944522
T01-V5,T01,29,Lenient,0.129465,0.970234,0.953220
T01-V6,T01,29,Lenient,0.130633,0.969568,0.951861
T01-V7,T01,29,Lenient,0.132272,0.969922,0.948742
T01-V8,T01,29,Lenient,0.135432,0.968630,0.946282
T02-V1,T02,29,Lenient,0.131590,0.972628,0.947606
T02-V2,T02,29,Lenient,0.131661,0.970447,0.947121
T02-V3,T02,29,Lenient,0.133316,0.968901,0.947022
T02-V4,T02,29,Lenient,0.132265,0.967434,0.949720
T02-V5,T02,29,Lenient,0.130633,0.969568,0.951861
T02-V6,T02,29,Lenient,0.132272,0.969922,0.948742
T02-V7,T02,29,Lenient,0.133432,0.970630,0.948782
T02-V8,T02,29,Lenient,0.129001,0.968933,0.949954
T03-V1,T03,29,Lenient,0.131661,0.970447,0.947121
T03-V2,T03,29,Lenient,0.133316,0.968901,0.947022
T03-V3,T03,29,Lenient,0.130265,0.969434,0.952220
T03-V4,T03,29,Lenient,0.133433,0.966768,0.948361
T03-V5,T03,29,Lenient,0.132272,0.969922,0.948742
T03-V6,T03,29,Lenient,0.133432,0.970630,0.948782
T03-V7,T03,29,Lenient,0.127001,0.970933,0.952454
T03-V8,T03,29,Lenient,0.128854,0.973537,0.953493
T04-V1,T04,29,Lenient,0.133316,0.968901,0.947022
T04-V2,T04,29,Lenient,0.130265,0.969434,0.952220
T04-V3,T04,29,Lenient,0.131433,0.968768,0.950861
T04-V4,T04,29,Lenient,0.135072,0.967122,0.945242
T04-V5,T04,29,Lenient,0.133432,0.970630,0.948782
T04-V6,T04,29,Lenient,0.127001,0.970933,0.952454
T04-V7,T04,29,Lenient,0.126854,0.975537,0.955993
T04-V8,T04,29,Lenient,0.131580,0.972103,0.947733
T05-V1,T05,29,Lenient,0.130265,0.969434,0.952220
T05-V2,T05,29,Lenient,0.131433,0.968768,0.950861
T05-V3,T05,29,Lenient,0.133072,0.969122,0.947742
T05-V4,T05,29,Lenient,0.136232,0.967830,0.945282
T05-V5,T05,29,Lenient,0.127001,0.970933,0.952454
T05-V6,T05,29,Lenient,0.126854,0.975537,0.955993
T05-V7,T05,29,Lenient,0.129580,0.974103,0.950233
T05-V8,T05,29,Lenient,0.128825,0.970152,0.950680
T06-V1,T06,29,Lenient,0.133833,0.966368,0.947861
T06-V2,T06,29,Lenient,0.135472,0.966722,0.944742
T06-V3,T06,29,Lenient,0.136632,0.967430,0.944782
T06-V4,T06,29,Lenient,0.132201,0.965733,0.945954
T06-V5,T06,29,Lenient,0.129254,0.973137,0.952993
T06-V6,T06,29,Lenient,0.131980,0.971703,0.947233
T06-V7,T06,29,Lenient,0.129225,0.969752,0.950180
T06-V8,T06,29,Lenient,0.131304,0.968081,0.944898
T07-V1,T07,29,Lenient,0.135472,0.966722,0.944742
T07-V2,T07,29,Lenient,0.136632,0.967430,0.944782
T07-V3,T07,29,Lenient,0.130201,0.967733,0.948454
T07-V4,T07,29,Lenient,0.132054,0.970337,0.949493
T07-V5,T07,29,Lenient,0.131980,0.971703,0.947233
T07-V6,T07,29,Lenient,0.129225,0.969752,0.950180
T07-V7,T07,29,Lenient,0.129304,0.970081,0.947398
T07-V8,T07,29,Lenient,0.133526,0.970026,0.944107
T08-V1,T08,29,Lenient,0.136632,0.967430,0.944782
T08-V2,T08,29,Lenient,0.130201,0.967733,0.948454
T08-V3,T08,29,Lenient,0.130054,0.972337,0.951993
T08-V4,T08,29,Lenient,0.134780,0.968903,0.943733
T08-V5,T08,29,Lenient,0.129225,0.969752,0.950180
T08-V6,T08,29,Lenient,0.129304,0.970081,0.947398
T08-V7,T08,29,Lenient,0.131526,0.972026,0.946607
T08-V8,T08,29,Lenient,0.135066,0.968920,0.949091
T09-V1,T09,29,Lenient,0.127801,0.970133,0.951454
T09-V2,T09,29,Lenient,0.127654,0.974737,0.954993
T09-V3,T09,29,Lenient,0.130380,0.973303,0.949233
T09-V4,T09,29,Lenient,0.129625,0.969352,0.949680
T09-V5,T09,29,Lenient,0.126904,0.972481,0.950398
T09-V6,T09,29,Lenient,0.129126,0.974426,0.949607
T09-V7,T09,29,Lenient,0.130666,0.973320,0.954591
T09-V8,T09,29,Lenient,0.131372,0.971019,0.950870
T10-V1,T10,29,Lenient,0.128589,0.967627,0.948961
T10-V2,T10,29,Lenient,0.131590,0.972628,0.947606
T10-V3,T10,29,Lenient,0.131661,0.970447,0.947121
T10-V4,T10,29,Lenient,0.135316,0.966901,0.944522
T10-V5,T10,29,Lenient,0.129465,0.970234,0.953220
T10-V6,T10,29,Lenient,0.130633,0.969568,0.951861
T10-V7,T10,29,Lenient,0.132272,0.969922,0.948742
T10-V8,T10,29,Lenient,0.135432,0.968630,0.946282
T11-V1,T11,29,Lenient,0.131590,0.972628,0.947606
T11-V2,T11,29,Lenient,0.131661,0.970447,0.947121
T11-V3,T11,29,Lenient,0.133316,0.968901,0.947022
T11-V4,T11,29,Lenient,0.132265,0.967434,0.949720
T11-V5,T11,29,Lenient,0.130633,0.969568,0.951861
T11-V6,T11,29,Lenient,0.132272,0.969922,0.948742
T11-V7,T11,29,Lenient,0.133432,0.970630,0.948782
T11-V8,T11,29,Lenient,0.129001,0.968933,0.949954
T12-V1,T12,29,Lenient,0.131661,0.970447,0.947121
T12-V2,T12,29,Lenient,0.133316,0.968901,0.947022
T12-V3,T12,29,Lenient,0.130265,0.969434,0.952220
T12-V4,T12,29,Lenient,0.133433,0.966768,0.948361
T12-V5,T12,29,Lenient,0.132272,0.969922,0.948742
T12-V6,T12,29,Lenient,0.133432,0.970630,0.948782
T12-V7,T12,29,Lenient,0.127001,0.970933,0.952454
T12-V8,T12,29,Lenient,0.128854,0.973537,0.953493
T13-V1,T13,29,Lenient,0.133316,0.968901,0.947022
T13-V2,T13,29,Lenient,0.130265,0.969434,0.952220
T13-V3,T13,29,Lenient,0.131433,0.968768,0.950861
T13-V4,T13,29,Lenient,0.135072,0.967122,0.945242
T13-V5,T13,29,Lenient,0.133432,0.970630,0.948782
T13-V6,T13,29,Lenient,0.127001,0.970933,0.952454
T13-V7,T13,29,Lenient,0.126854,0.975537,0.955993
T13-V8,T13,29,Lenient,0.131580,0.972103,0.947733
T14-V1,T14,29,Lenient,0.132665,0.967034,0.949220
T14-V2,T14,29,Lenient,0.133833,0.966368,0.947861
T14-V3,T14,29,Lenient,0.135472,0.966722,0.944742
T14-V4,T14,29,Lenient,0.138632,0.965430,0.942282
T14-V5,T14,29,Lenient,0.129401,0.968533,0.949454
T14-V6,T14,29,Lenient,0.129254,0.973137,0.952993
T14-V7,T14,29,Lenient,0.131980,0.971703,0.947233
T14-V8,T14,29,Lenient,0.131225,0.967752,0.947680
T15-V1,T15,29,Lenient,0.133833,0.966368,0.947861
T15-V2,T15,29,Lenient,0.135472,0.966722,0.944742
T15-V3,T15,29,Lenient,0.136632,0.967430,0.944782
T15-V4,T15,29,Lenient,0.132201,0.965733,0.945954
T15-V5,T15,29,Lenient,0.129254,0.973137,0.952993
T15-V6,T15,29,Lenient,0.131980,0.971703,0.947233
T15-V7,T15,29,Lenient,0.129225,0.969752,0.950180
T15-V8,T15,29,Lenient,0.131304,0.968081,0.944898
T16-V1,T16,29,Lenient,0.135472,0.966722,0.944742
T16-V2,T16,29,Lenient,0.136632,0.967430,0.944782
T16-V3,T16,29,Lenient,0.130201,0.967733,0.948454
T16-V4,T16,29,Lenient,0.132054,0.970337,0.949493
T16-V5,T16,29,Lenient,0.131980,0.971703,0.947233
T16-V6,T16,29,Lenient,0.129225,0.969752,0.950180
T16-V7,T16,29,Lenient,0.129304,0.970081,0.947398
T16-V8,T16,29,Lenient,0.133526,0.970026,0.944107
T17-V1,T17,29,Lenient,0.135832,0.968230,0.945782
T17-V2,T17,29,Lenient,0.129401,0.968533,0.949454
T17-V3,T17,29,Lenient,0.129254,0.973137,0.952993
T17-V4,T17,29,Lenient,0.133980,0.969703,0.944733
T17-V5,T17,29,Lenient,0.128425,0.970552,0.951180
T17-V6,T17,29,Lenient,0.128504,0.970881,0.948398
T17-V7,T17,29,Lenient,0.130726,0.972826,0.947607
T17-V8,T17,29,Lenient,0.134266,0.969720,0.950091
T18-V1,T18,29,Lenient,0.129401,0.968533,0.949454
T18-V2,T18,29,Lenient,0.129254,0.973137,0.952993
T18-V3,T18,29,Lenient,0.131980,0.971703,0.947233
T18-V4,T18,29,Lenient,0.131225,0.967752,0.947680
T18-V5,T18,29,Lenient,0.128504,0.970881,0.948398
T18-V6,T18,29,Lenient,0.130726,0.972826,0.947607
T18-V7,T18,29,Lenient,0.132266,0.971720,0.952591
T18-V8,T18,29,Lenient,0.132972,0.969419,0.948870
T19-V1,T19,29,Lenient,0.129254,0.973137,0.952993
T19-V2,T19,29,Lenient,0.131980,0.971703,0.947233
T19-V3,T19,29,Lenient,0.129225,0.969752,0.950180
T19-V4,T19,29,Lenient,0.131304,0.968081,0.944898
T19-V5,T19,29,Lenient,0.130726,0.972826,0.947607
T19-V6,T19,29,Lenient,0.132266,0.971720,0.952591
T19-V7,T19,29,Lenient,0.130972,0.971419,0.951370
T19-V8,T19,29,Lenient,0.133130,0.968256,0.947488
T20-V1,T20,29,Lenient,0.133190,0.971028,0.945606
T20-V2,T20,29,Lenient,0.133261,0.968847,0.945121
T20-V3,T20,29,Lenient,0.134916,0.967301,0.945022
T20-V4,T20,29,Lenient,0.133865,0.965834,0.947720
T20-V5,T20,29,Lenient,0.132233,0.967968,0.949861
T20-V6,T20,29,Lenient,0.133872,0.968322,0.946742
T20-V7,T20,29,Lenient,0.135032,0.969030,0.946782
T20-V8,T20,29,Lenient,0.130601,0.967333,0.947954
T21-V1,T21,29,Lenient,0.133261,0.968847,0.945121
T21-V2,T21,29,Lenient,0.134916,0.967301,0.945022
T21-V3,T21,29,Lenient,0.131865,0.967834,0.950220
T21-V4,T21,29,Lenient,0.135033,0.965168,0.946361
T21-V5,T21,29,Lenient,0.133872,0.968322,0.946742
T21-V6,T21,29,Lenient,0.135032,0.969030,0.946782
T21-V7,T21,29,Lenient,0.128601,0.969333,0.950454
T21-V8,T21,29,Lenient,0.130454,0.971937,0.951493
T22-V1,T22,29,Lenient,0.137316,0.964901,0.942022
T22-V2,T22,29,Lenient,0.134265,0.965434,0.947220
T22-V3,T22,29,Lenient,0.135433,0.964768,0.945861
T22-V4,T22,29,Lenient,0.139072,0.963122,0.940242
T22-V5,T22,29,Lenient,0.137432,0.966630,0.943782
T22-V6,T22,29,Lenient,0.131001,0.966933,0.947454
T22-V7,T22,29,Lenient,0.130854,0.971537,0.950993
T22-V8,T22,29,Lenient,0.135580,0.968103,0.942733
T23-V1,T23,29,Lenient,0.134265,0.965434,0.947220
T23-V2,T23,29,Lenient,0.135433,0.964768,0.945861
T23-V3,T23,29,Lenient,0.137072,0.965122,0.942742
T23-V4,T23,29,Lenient,0.140232,0.963830,0.940282
T23-V5,T23,29,Lenient,0.131001,0.966933,0.947454
T23-V6,T23,29,Lenient,0.130854,0.971537,0.950993
T23-V7,T23,29,Lenient,0.133580,0.970103,0.945233
T23-V8,T23,29,Lenient,0.132825,0.966152,0.945680
T24-V1,T24,29,Lenient,0.135433,0.964768,0.945861
T24-V2,T24,29,Lenient,0.137072,0.965122,0.942742
T24-V3,T24,29,Lenient,0.138232,0.965830,0.942782
T24-V4,T24,29,Lenient,0.133801,0.964133,0.943954
T24-V5,T24,29,Lenient,0.130854,0.971537,0.950993
T24-V6,T24,29,Lenient,0.133580,0.970103,0.945233
T24-V7,T24,29,Lenient,0.130825,0.968152,0.948180
T24-V8,T24,29,Lenient,0.132904,0.966481,0.942898
T25-V1,T25,29,Lenient,0.134672,0.967522,0.945742
