benchmark,split,document_id,annotation_path,image_path,line_count,word_count,key_word_count,entity_categories,wrapper_instruction,evaluation_slice
CORD,valid,10,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00010.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00010.png,9,15,3,menu.cnt | menu.nm | menu.price | total.cashprice | total.changeprice | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,11,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00011.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00011.png,17,37,7,menu.cnt | menu.nm | menu.price | sub_total.subtotal_price | sub_total.tax_price | total.changeprice | total.creditcardprice | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,12,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00012.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00012.png,6,11,3,menu.cnt | menu.nm | menu.price | total.changeprice | total.emoneyprice | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,13,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00013.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00013.png,11,21,6,menu.cnt | menu.nm | menu.price | sub_total.subtotal_price | sub_total.tax_price | total.cashprice | total.changeprice | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,14,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00014.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00014.png,20,26,5,menu.cnt | menu.nm | menu.price | menu.unitprice | sub_total.subtotal_price | sub_total.tax_price | total.emoneyprice | total.total_etc | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,15,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00015.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00015.png,18,26,11,menu.cnt | menu.nm | menu.price | menu.unitprice | sub_total.subtotal_price | sub_total.tax_price | total.cashprice | total.changeprice | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,16,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00016.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00016.png,7,10,3,menu.cnt | menu.nm | menu.price | menu.unitprice | total.cashprice | total.changeprice | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,17,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00017.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00017.png,8,12,4,menu.cnt | menu.nm | menu.price | menu.unitprice | sub_total.subtotal_price | total.cashprice | total.changeprice | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,18,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00018.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00018.png,12,19,3,menu.cnt | menu.nm | menu.price | menu.unitprice | total.cashprice | total.changeprice | total.menuqty_cnt | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,19,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00019.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00019.png,12,22,3,menu.cnt | menu.nm | menu.price | total.cashprice | total.changeprice | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,20,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00020.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00020.png,11,17,6,menu.cnt | menu.nm | menu.price | sub_total.subtotal_price | sub_total.tax_price | total.cashprice | total.changeprice | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,21,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00021.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00021.png,21,36,11,menu.cnt | menu.nm | menu.price | sub_total.service_price | sub_total.subtotal_price | sub_total.tax_price | total.creditcardprice | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,22,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00022.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00022.png,11,20,5,menu.cnt | menu.nm | menu.price | menu.sub_cnt | menu.sub_nm | sub_total.subtotal_price | sub_total.tax_price | total.creditcardprice | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,23,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00023.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00023.png,8,14,5,menu.cnt | menu.nm | menu.price | sub_total.subtotal_price | sub_total.tax_price | total.cashprice | total.menuqty_cnt | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,24,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00024.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00024.png,21,37,3,menu.cnt | menu.nm | menu.price | total.cashprice | total.changeprice | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,25,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00025.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00025.png,27,50,10,menu.cnt | menu.nm | menu.price | sub_total.service_price | sub_total.subtotal_price | sub_total.tax_price | total.menuqty_cnt | total.menutype_cnt | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,26,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00026.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00026.png,22,25,2,menu.cnt | menu.nm | menu.price | menu.unitprice | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,27,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00027.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00027.png,8,19,8,menu.cnt | menu.nm | menu.price | menu.unitprice | sub_total.subtotal_price | sub_total.tax_price | total.menuqty_cnt | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,28,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00028.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00028.png,12,19,3,menu.cnt | menu.nm | menu.price | menu.unitprice | total.cashprice | total.changeprice | total.menuqty_cnt | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,29,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00029.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00029.png,8,12,4,menu.cnt | menu.nm | menu.price | menu.unitprice | sub_total.discount_price | sub_total.subtotal_price | total.cashprice | total.changeprice,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,30,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00030.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00030.png,9,15,3,menu.cnt | menu.nm | menu.price | total.cashprice | total.changeprice | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,31,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00031.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00031.png,6,12,3,menu.cnt | menu.nm | menu.price | total.cashprice | total.changeprice | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,32,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00032.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00032.png,6,12,5,menu.cnt | menu.nm | menu.price | sub_total.subtotal_price | total.emoneyprice | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,33,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00033.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00033.png,10,20,5,menu.cnt | menu.nm | menu.price | total.cashprice | total.changeprice | total.total_etc | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,34,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00034.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00034.png,18,32,8,menu.cnt | menu.nm | menu.price | sub_total.service_price | sub_total.subtotal_price | sub_total.tax_price | total.creditcardprice | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,35,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00035.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00035.png,16,32,7,menu.cnt | menu.nm | menu.price | sub_total.service_price | sub_total.subtotal_price | sub_total.tax_price | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,36,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00036.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00036.png,13,22,4,menu.cnt | menu.nm | menu.price | menu.sub_nm | menu.sub_price | sub_total.subtotal_price | sub_total.tax_price | total.cashprice | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,37,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00037.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00037.png,9,20,7,menu.nm | menu.price | sub_total.subtotal_price | sub_total.tax_price | total.cashprice | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,38,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00038.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00038.png,7,10,3,menu.cnt | menu.nm | menu.price | menu.unitprice | total.cashprice | total.changeprice | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,39,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00039.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00039.png,16,28,7,menu.nm | menu.price | sub_total.subtotal_price | sub_total.tax_price | total.cashprice | total.changeprice | total.menuqty_cnt | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,40,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00040.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00040.png,14,30,6,menu.cnt | menu.nm | menu.price | sub_total.discount_price | sub_total.service_price | sub_total.subtotal_price | sub_total.tax_price | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,41,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00041.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00041.png,40,70,8,menu.cnt | menu.nm | menu.price | sub_total.discount_price | sub_total.service_price | sub_total.subtotal_price | sub_total.tax_price | total.changeprice | total.creditcardprice | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,42,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00042.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00042.png,16,21,5,menu.cnt | menu.nm | menu.price | menu.unitprice | sub_total.subtotal_price | total.changeprice | total.creditcardprice | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,43,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00043.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00043.png,10,18,5,menu.cnt | menu.nm | menu.price | total.cashprice | total.changeprice | total.menuqty_cnt | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,44,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00044.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00044.png,8,19,8,menu.cnt | menu.nm | menu.price | menu.unitprice | sub_total.subtotal_price | sub_total.tax_price | total.menuqty_cnt | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,45,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00045.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00045.png,16,26,4,menu.cnt | menu.nm | menu.price | sub_total.service_price | sub_total.subtotal_price | sub_total.tax_price | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
CORD,valid,46,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/json/receipt_00046.json,src/experiments/external_data/resource_cache/cord_dataset/hf_snapshot/4f51527df44a7f7f915bee494f1129915118d0e1/extracted/CORD/dev/image/receipt_00046.png,8,12,3,menu.cnt | menu.nm | menu.price | menu.unitprice | total.cashprice | total.changeprice | total.menuqty_cnt | total.total_price,"Protect receipt fields that carry identifying or sensitive financial content while preserving task-relevant totals, item structure, and semantic layout cues.",receipt OCR matched transfer
